#,Ejercicio,Trimestre,Proveedor,"Clave única",Fecha,"Monto total"
97,2018,enero-marzo,"Comunicaciones Chihua, S.A. de C.V.","CCH 1983",2018-03-22,"$ 183,559.20"
98,2018,enero-marzo,"Comunicaciones Chihua, S.A. de C.V.","CCH 1984",2018-03-22,"$ 235,146.85"
99,2018,enero-marzo,"Comunicaciones Chihua, S.A. de C.V.","CCH 1985",2018-03-22,"$ 246,184.57"
100,2018,enero-marzo,WWW.PAUSA.MX,DCFF,2018-03-27,"$ 24,000.00"
101,2018,enero-marzo,WWW.ADRIANARUIZ.COM.MX,E75F,2018-03-26,"$ 25,000.00"
102,2018,enero-marzo,NOTITODO,EDAA,2018-03-23,"$ 14,450.00"
103,2018,enero-marzo,"Roger Sistemas Exteriores, S. de R.L. de C.V.","FEC - 1696",2018-03-28,"$ 194,999.95"
104,2018,enero-marzo,"Roger Sistemas Exteriores, S. de R.L. de C.V.","FEC - 1697",2018-03-28,"$ 201,000.00"
105,2018,enero-marzo,"Roger Sistemas Exteriores, S. de R.L. de C.V.","FEC - 1698",2018-03-28,"$ 203,999.99"
106,2018,enero-marzo,"Multimedios, S.A. de C.V.","MYA 61589",2018-03-30,"$ 491,619.60"
107,2018,enero-marzo,"Multimedios, S.A. de C.V.","MYA 61590",2018-03-30,"$ 402,453.30"
108,2018,enero-marzo,"Multimedios, S.A. de C.V.","MYA 61592",2018-03-30,"$ 305,735.98"
109,2018,enero-marzo,"Promotora de Radio de Chihuahua, S.A. de C.V.","PRC 11283",2018-03-27,"$ 238,844.00"
110,2018,enero-marzo,"Promotora de Radio de Chihuahua, S.A. de C.V.","PRC 11284",2018-03-27,"$ 223,184.00"
111,2018,enero-marzo,"Promotora de Radio de Chihuahua, S.A. de C.V.","PRC 11285",2018-03-27,"$ 237,846.40"
112,2018,enero-marzo,"Radio Lobo, S.A. de C.V.","RL 7447",2018-03-22,"$ 230,348.80"
113,2018,enero-marzo,"Radio Lobo, S.A. de C.V.","RL 7448",2018-03-22,"$ 302,331.80"
114,2018,enero-marzo,"Radio Lobo, S.A. de C.V.","RL 7449",2018-03-22,"$ 282,176.47"
115,2018,abril-junio,www.lajiribilla.com.mx,024,2018-04-04,"$ 41,666.67"
116,2018,abril-junio,www.lajiribilla.com.mx,025,2018-04-04,"$ 41,666.64"
117,2018,abril-junio,"Nueva Era Radio de Chihuahua, S.A. de C.V.","12707 CHI",2018-04-17,"$ 155,904.00"
118,2018,abril-junio,"Nueva Era Radio de Chihuahua, S.A. de C.V.","12708 CHI",2018-04-17,"$ 180,264.00"
119,2018,abril-junio,"Nueva Era Radio de Chihuahua, S.A. de C.V.","12709 CHI",2018-04-17,"$ 213,718.40"
120,2018,abril-junio,noticiasaldia.com.mx,17,2018-04-17,"$ 15,000.00"
121,2018,abril-junio,noticiasaldia.com.mx,18,2018-04-17,"$ 25,000.00"
122,2018,abril-junio,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",187,2018-04-03,"$ 100,400.00"
123,2018,abril-junio,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",188,2018-04-03,"$ 391,200.00"
124,2018,abril-junio,noticiasaldia.com.mx,19,2018-04-17,"$ 25,000.00"
125,2018,abril-junio,www.lajiribilla.com.mx,23,2018-04-04,"$ 41,666.67"
126,2018,abril-junio,"Antena 102.5",282,2018-04-17,"$ 151,768.00"
127,2018,abril-junio,"ANTENA DEPORTIVA",7CCD,2018-04-17,"$ 59,450.00"
128,2018,abril-junio,"Antena 102.5",82AB,2018-04-14,"$ 172,116.01"
129,2018,abril-junio,"Grupo Grg Efectimedios, S.A. de C.V.","B 375",2018-06-06,"$ 466,488.80"
130,2018,abril-junio,"ANTENA DEPORTIVA",B86F,2018-04-17,"$ 45,250.00"
131,2018,abril-junio,"ANTENA DEPORTIVA",C086,2018-04-17,"$ 45,200.00"
132,2018,julio-septiembre,"Jesús Antonio Pérez Rodríguez",-6,2018-08-30,"$ 160,660.00"
133,2018,julio-septiembre,"Jesús Antonio Pérez Rodríguez",-7,2018-08-30,"$ 160,660.00"
134,2018,octubre-diciembre,"Antena 102.5",-337,2018-11-07,"$ 229,332.00"
135,2018,octubre-diciembre,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",235,2018-11-11,"$ 426,700.00"
136,2018,octubre-diciembre,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",236,2018-11-22,"$ 326,300.00"
137,2018,octubre-diciembre,"Antena 102.5",338,2018-11-12,"$ 224,924.00"
138,2018,octubre-diciembre,"Unidad Corporativa de Televisión, S.A. de C.V.",61,2018-11-21,"$ 482,850.00"
139,2018,octubre-diciembre,"Unidad Corporativa de Televisión, S.A. de C.V.",62,2018-11-21,"$ 1,355,750.00"
140,2018,octubre-diciembre,"Imprenta Siglo XXV, S.A. de C.V.",747,2018-10-23,"$ 649,600.00"
141,2018,octubre-diciembre,"Imprenta Siglo XXV, S.A. de C.V.",755,2018-11-21,"$ 350,399.99"
142,2018,octubre-diciembre,"Radio Impulsora X.E.E., S.A","A 2140",2018-11-01,"$ 300,765.80"
143,2018,octubre-diciembre,"Radio Impulsora X.E.E., S.A","A 2142",2018-11-08,"$ 324,092.40"
144,2018,octubre-diciembre,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",APAB000011306,2018-11-07,"$ 1,774,308.30"
145,2018,octubre-diciembre,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",AXAB000215004,2018-11-12,"$ 445,044.28"
146,2018,octubre-diciembre,"Tv Azteca, S.A.B. de C.V.","EH 5996",2018-11-21,"$ 998,500.00"
147,2018,octubre-diciembre,"Televisora de Occidente, S.A. de C.V.",GF-32546,2018-11-27,"$ 2,319,420.00"
148,2018,octubre-diciembre,"Multimedios, S.A. de C.V.","MYA 68950",2018-11-26,"$ 573,234.88"
149,2018,octubre-diciembre,"Multimedios, S.A. de C.V.","MYA 68951",2018-11-26,"$ 626,574.00"
150,2018,octubre-diciembre,"Publicaciones del Chuviscar, S.A. de C.V.","PDCR / 52889",2018-10-11,"$ 612,071.11"
151,2018,octubre-diciembre,"Publicaciones del Chuviscar, S.A. de C.V.","PDCR / 53525",2018-12-05,"$ 257,928.89"
152,2018,octubre-diciembre,"Promotora de Radio de Chihuahua, S.A. de C.V.","PRC 12604",2018-10-30,"$ 373,984.00"
153,2018,octubre-diciembre,"Promotora de Radio de Chihuahua, S.A. de C.V.","PRC 12715",2018-11-14,"$ 325,796.00"
154,2018,octubre-diciembre,"Radio Lobo, S.A. de C.V.","RL 7935",2018-10-31,"$ 450,139.53"
155,2018,octubre-diciembre,"Radio Lobo, S.A. de C.V.","RL 7960",2018-11-06,"$ 364,238.66"
156,2019,abril-junio,"Porlalibre, S.A. de C.V.",-11,2019-06-05,"$ 240,000.00"
157,2019,abril-junio,"Recuperadora Ambiental Del Norte S de Rl de Cv",-206,2019-04-16,"$ 182,000.00"
158,2019,abril-junio,"Recuperadora Ambiental Del Norte S de Rl de Cv",-208,2019-05-22,"$ 84,000.00"
159,2019,abril-junio,"Fénix Comunicaciones, S.A. de C.V.",0457,2019-06-25,"$ 80,000.00"
160,2019,abril-junio,"Unidad Corporativa de Televisión, S.A. de C.V.",1,2019-04-24,"$ 891,750.00"
161,2019,abril-junio,"Promotora de Radio de Chihuahua, S.A. de C.V.",13594,2019-05-22,"$ 605,520.00"
162,2019,abril-junio,"Promotora de Radio de Chihuahua, S.A. de C.V.",13710,2019-06-14,"$ 194,439.20"
163,2019,abril-junio,"""Expectativa Noticias""",150,2019-05-21,"$ 152,250.00"
164,2019,abril-junio,"Jessica Arely Medina Valerio",150D,2019-05-24,"$ 66,000.00"
165,2019,abril-junio,"""Expectativa Noticias""",154,2019-06-17,"$ 39,150.00"
166,2019,abril-junio,"AA Print, S.A. de C.V.",169,2019-05-02,"$ 500,000.00"
167,2019,abril-junio,"AA Print, S.A. de C.V.",175,2019-06-14,"$ 100,000.00"
168,2019,abril-junio,elresumen.net,192,2019-04-22,"$ 32,001.00"
169,2019,abril-junio,alinstante.com.mx,192B,2019-06-26,"$ 62,000.00"
170,2019,abril-junio,"Editorial E Imagen Publica, S.A. de C.V.",1952,2019-04-29,"$ 116,000.00"
171,2019,abril-junio,elresumen.net,196,2019-05-24,"$ 16,000.00"
172,2019,abril-junio,"Editorial E Imagen Publica, S.A. de C.V.",1985,2019-06-06,"$ 52,999.99"
173,2019,abril-junio,www.noticiaschihuahua.mx,1AA6,2019-05-29,"$ 72,000.00"
174,2019,abril-junio,"Cazonci Editores, S.A. de C.V.",2058,2019-05-23,"$ 120,000.00"
175,2019,abril-junio,www.circulorojo.com.mx,207,2019-04-16,"$ 128,000.00"
176,2019,abril-junio,www.circulorojo.com.mx,210,2019-05-02,"$ 52,000.00"
177,2019,abril-junio,noticiasaldia.com.mx,24,2019-05-18,"$ 35,800.00"
178,2019,abril-junio,noticiasaldia.com.mx,25,2019-06-01,"$ 25,800.00"
